workerID,domain,utterance,utteranceType,utteranceExact,utteranceRounded,state,stateType,stateRounded,stateProb,affectProb,order
3,laptop,51,sharp,49,50,51,sharp,50,0.060606061,0.55,3
3,laptop,51,sharp,49,50,500,round,500,0.189393939,0.55,3
3,laptop,51,sharp,49,50,501,sharp,500,0.151515152,0.55,3
3,laptop,51,sharp,49,50,1000,round,1000,0.212121212,0.55,3
3,laptop,51,sharp,49,50,1001,sharp,1000,0.234848485,0.55,3
3,laptop,51,sharp,49,50,5000,round,5000,0.045454545,0.55,3
3,laptop,51,sharp,49,50,5001,sharp,5000,0.022727273,0.55,3
3,laptop,51,sharp,49,50,10000,round,10000,0.022727273,0.55,3
3,laptop,51,sharp,49,50,10001,sharp,10000,0.022727273,0.55,3
3,watch,1001,sharp,999,1000,50,round,50,0.017699115,0.65,4
3,watch,1001,sharp,999,1000,51,sharp,50,0.017699115,0.65,4
3,watch,1001,sharp,999,1000,500,round,500,0.017699115,0.65,4
3,watch,1001,sharp,999,1000,501,sharp,500,0.230088496,0.65,4
3,watch,1001,sharp,999,1000,1000,round,1000,0.221238938,0.65,4
3,watch,1001,sharp,999,1000,1001,sharp,1000,0.318584071,0.65,4
3,watch,1001,sharp,999,1000,5000,round,5000,0.017699115,0.65,4
3,watch,1001,sharp,999,1000,5001,sharp,5000,0.061946903,0.65,4
3,watch,1001,sharp,999,1000,10000,round,10000,0.044247788,0.65,4
3,watch,1001,sharp,999,1000,10001,sharp,10000,0.053097345,0.65,4
3,laptop,5000,round,5000,5000,50,round,50,0.008547009,0.925,5
3,laptop,5000,round,5000,5000,51,sharp,50,0.017094017,0.925,5
3,laptop,5000,round,5000,5000,500,round,500,0.017094017,0.925,5
3,laptop,5000,round,5000,5000,501,sharp,500,0.017094017,0.925,5
3,laptop,5000,round,5000,5000,1000,round,1000,0.196581197,0.925,5
3,laptop,5000,round,5000,5000,1001,sharp,1000,0.170940171,0.925,5
3,laptop,5000,round,5000,5000,5000,round,5000,0.282051282,0.925,5
3,laptop,5000,round,5000,5000,5001,sharp,5000,0.273504274,0.925,5
3,laptop,5000,round,5000,5000,10000,round,10000,0.008547009,0.925,5
3,laptop,5000,round,5000,5000,10001,sharp,10000,0.008547009,0.925,5
3,laptop,1000,round,1000,1000,50,round,50,0.022058824,0.525,6
3,laptop,1000,round,1000,1000,51,sharp,50,0.007352941,0.525,6
3,laptop,1000,round,1000,1000,500,round,500,0.073529412,0.525,6
3,laptop,1000,round,1000,1000,501,sharp,500,0.132352941,0.525,6
3,laptop,1000,round,1000,1000,1000,round,1000,0.286764706,0.525,6
3,laptop,1000,round,1000,1000,1001,sharp,1000,0.272058824,0.525,6
3,laptop,1000,round,1000,1000,5000,round,5000,0.058823529,0.525,6
3,laptop,1000,round,1000,1000,5001,sharp,5000,0.058823529,0.525,6
3,laptop,1000,round,1000,1000,10000,round,10000,0.036764706,0.525,6
3,laptop,1000,round,1000,1000,10001,sharp,10000,0.051470588,0.525,6
3,watch,50,round,50,50,50,round,50,0.391304348,0.25,7
3,watch,50,round,50,50,51,sharp,50,0.391304348,0.25,7
3,watch,50,round,50,50,500,round,500,0.065217391,0.25,7
3,watch,50,round,50,50,501,sharp,500,0.065217391,0.25,7
3,watch,50,round,50,50,1000,round,1000,0.043478261,0.25,7
3,watch,50,round,50,50,1001,sharp,1000,0.010869565,0.25,7
