participant,domain,utterance,utteranceType,utteranceExact,utteranceRounded,state,stateType,stateRounded,stateProb,affectProb,order
3,laptop,5000,round,5000,5000,1000,round,1000,0.575,0.925,5
3,laptop,5000,round,5000,5000,1001,sharp,1000,0.5,0.925,5
3,laptop,5000,round,5000,5000,5000,round,5000,0.825,0.925,5
3,laptop,5000,round,5000,5000,5001,sharp,5000,0.8,0.925,5
3,laptop,5000,round,5000,5000,10000,round,10000,0.025,0.925,5
3,laptop,5000,round,5000,5000,10001,sharp,10000,0.025,0.925,5
3,laptop,1000,round,1000,1000,50,round,50,0.075,0.525,6
3,laptop,1000,round,1000,1000,51,sharp,50,0.025,0.525,6
3,laptop,1000,round,1000,1000,500,round,500,0.25,0.525,6
3,laptop,1000,round,1000,1000,501,sharp,500,0.45,0.525,6
3,laptop,1000,round,1000,1000,1000,round,1000,0.975,0.525,6
3,laptop,1000,round,1000,1000,1001,sharp,1000,0.925,0.525,6
3,laptop,1000,round,1000,1000,5000,round,5000,0.2,0.525,6
3,laptop,1000,round,1000,1000,5001,sharp,5000,0.2,0.525,6
3,laptop,1000,round,1000,1000,10000,round,10000,0.125,0.525,6
3,laptop,1000,round,1000,1000,10001,sharp,10000,0.175,0.525,6
3,watch,50,round,50,50,50,round,50,0.9,0.25,7
3,watch,50,round,50,50,51,sharp,50,0.9,0.25,7
3,watch,50,round,50,50,500,round,500,0.15,0.25,7
3,watch,50,round,50,50,501,sharp,500,0.15,0.25,7
3,watch,50,round,50,50,1000,round,1000,0.1,0.25,7
3,watch,50,round,50,50,1001,sharp,1000,0.025,0.25,7
3,watch,50,round,50,50,5000,round,5000,0.025,0.25,7
3,watch,50,round,50,50,5001,sharp,5000,0.025,0.25,7
3,watch,50,round,50,50,10000,round,10000,0,0.25,7
3,watch,50,round,50,50,10001,sharp,10000,0.025,0.25,7
3,electric kettle,50,round,50,50,50,round,50,0.975,0.2,8
3,electric kettle,50,round,50,50,51,sharp,50,0.925,0.2,8
3,electric kettle,50,round,50,50,500,round,500,0.325,0.2,8
3,electric kettle,50,round,50,50,501,sharp,500,0.075,0.2,8
3,electric kettle,50,round,50,50,1000,round,1000,0.125,0.2,8
3,electric kettle,50,round,50,50,1001,sharp,1000,0.025,0.2,8
3,electric kettle,50,round,50,50,5000,round,5000,0.075,0.2,8
3,electric kettle,50,round,50,50,5001,sharp,5000,0.05,0.2,8
3,electric kettle,50,round,50,50,10000,round,10000,0.1,0.2,8
3,electric kettle,50,round,50,50,10001,sharp,10000,0.025,0.2,8
3,watch,500,round,500,500,50,round,50,0.25,0.575,9
3,watch,500,round,500,500,51,sharp,50,0.125,0.575,9
3,watch,500,round,500,500,500,round,500,1,0.575,9
3,watch,500,round,500,500,501,sharp,500,0.975,0.575,9
3,watch,500,round,500,500,1000,round,1000,0.375,0.575,9
3,watch,500,round,500,500,1001,sharp,1000,0.05,0.575,9
3,watch,500,round,500,500,5000,round,5000,0.05,0.575,9
3,watch,500,round,500,500,5001,sharp,5000,0.025,0.575,9
3,watch,500,round,500,500,10000,round,10000,0.025,0.575,9
