"age","gender","condition","sentenceID","funniness","workerID.anonym","punType"
35,"M",2,36,2.307349068,20,"identical"
35,"M",2,46,2.307349068,20,"identical"
35,"M",2,54,-0.800723877,20,"identical"
35,"M",2,62,0.442505301,20,"identical"
35,"M",2,67,-0.179109288,20,"identical"
35,"M",2,75,-0.800723877,20,"identical"
35,"M",2,83,-0.179109288,20,"identical"
35,"M",2,91,-0.179109288,20,"identical"
35,"M",2,99,0.442505301,20,"identical"
35,"M",2,113,-0.800723877,20,"identical"
35,"M",2,121,-0.800723877,20,"identical"
35,"M",2,129,-0.800723877,20,"identical"
35,"M",2,137,-0.800723877,20,"identical"
35,"M",2,145,-0.800723877,20,"identical"
35,"M",2,147,-0.800723877,20,"identical"
35,"M",2,155,-0.800723877,20,"identical"
35,"M",2,163,0.442505301,20,"identical"
35,"M",2,177,-0.800723877,20,"identical"
35,"M",2,185,-0.800723877,20,"identical"
35,"M",2,193,-0.800723877,20,"identical"
35,"M",2,201,-0.179109288,20,"identical"
35,"M",2,209,-0.800723877,20,"identical"
35,"M",2,211,-0.800723877,20,"identical"
35,"M",2,219,-0.800723877,20,"identical"
35,"M",2,227,-0.800723877,20,"identical"
35,"M",2,235,-0.800723877,20,"identical"
17,"M",3,5,2.250065978,21,"identical"
17,"M",3,13,0.142861332,21,"identical"
17,"M",3,21,2.250065978,21,"identical"
17,"M",3,29,1.547664429,21,"identical"
17,"M",3,37,0.142861332,21,"identical"
17,"M",3,47,0.142861332,21,"identical"
17,"M",3,55,2.250065978,21,"identical"
17,"M",3,63,1.547664429,21,"identical"
